2025-08-01 16:17:46,392 - __main__ - INFO - Reading training data...
2025-08-01 16:20:02,052 - __main__ - INFO - Processed 750 points for пшеница
2025-08-01 16:21:08,388 - __main__ - INFO - Processed 350 points for ячмень
2025-08-01 16:21:17,804 - __main__ - INFO - Processed 50 points for овес
2025-08-01 16:21:17,807 - __main__ - INFO - Training data shape: (1150, 21)
2025-08-01 16:21:17,808 - __main__ - INFO - Training model...
2025-08-01 16:29:40,833 - __main__ - INFO - Reading training data...
2025-08-01 16:30:40,579 - __main__ - WARNING - Invalid values (NaN, inf, or too large) at (8381, 9696): [np.float32(23.61514), np.float32(31.952953), np.float32(-8.337812), np.float32(32.894268), np.float32(5.1538644), np.float32(0.13332376), np.float32(1884.6146), np.float32(31.636059), np.float32(-inf), np.float32(inf), np.float32(0.0), np.float32(125.39411), np.float32(inf), np.float32(1473.2894), np.float32(31.307234), np.float32(31.334223), np.float32(-0.026988445), np.float32(3.0882082), np.float32(-38.442913), np.float32(0.06663447), np.float32(2766.901)]
2025-08-01 16:30:40,820 - __main__ - WARNING - Invalid values (NaN, inf, or too large) at (8400, 9744): [np.float32(29.30287), np.float32(30.755848), np.float32(-1.4529803), np.float32(8.1170025), np.float32(-72.91784), np.float32(0.15907994), np.float32(2056.9531), np.float32(31.499876), np.float32(-inf), np.float32(inf), np.float32(0.0), np.float32(74.1468), np.float32(inf), np.float32(1418.0756), np.float32(23.463917), np.float32(32.486843), np.float32(-9.022926), np.float32(46.01179), np.float32(-12.541709), np.float32(0.122942254), np.float32(2036.3281)]
2025-08-01 16:30:41,061 - __main__ - WARNING - Invalid values (NaN, inf, or too large) at (8428, 9703): [np.float32(33.25887), np.float32(30.682798), np.float32(2.576071), np.float32(7.074936), np.float32(-45.773872), np.float32(0.26593095), np.float32(3308.162), np.float32(34.242874), np.float32(-inf), np.float32(inf), np.float32(0.0), np.float32(31.265343), np.float32(inf), np.float32(2669.1555), np.float32(32.196846), np.float32(30.217253), np.float32(1.979591), np.float32(2.967749), np.float32(-22.073298), np.float32(0.10709879), np.float32(2726.8364)]
2025-08-01 16:30:41,181 - __main__ - WARNING - Invalid values (NaN, inf, or too large) at (8472, 9711): [np.float32(28.714317), np.float32(29.643597), np.float32(-0.92927766), np.float32(24.037521), np.float32(-118.46578), np.float32(0.40614688), np.float32(1671.7405), np.float32(34.25403), np.float32(-inf), np.float32(inf), np.float32(0.0), np.float32(-6.499209), np.float32(inf), np.float32(2665.6987), np.float32(29.484026), np.float32(31.264118), np.float32(-1.7800939), np.float32(16.173048), np.float32(156.42009), np.float32(0.27004188), np.float32(2245.2144)]
2025-08-01 16:30:41,302 - __main__ - WARNING - Invalid values (NaN, inf, or too large) at (8476, 9716): [np.float32(29.816668), np.float32(29.11385), np.float32(0.7028176), np.float32(7.13433), np.float32(-87.551094), np.float32(0.20247017), np.float32(1783.8846), np.float32(31.507687), np.float32(-inf), np.float32(inf), np.float32(0.0), np.float32(97.68434), np.float32(inf), np.float32(1416.1415), np.float32(31.18488), np.float32(31.204023), np.float32(-0.019144528), np.float32(11.469666), np.float32(-18.981571), np.float32(0.27623263), np.float32(2642.6707)]
2025-08-01 16:30:41,449 - __main__ - WARNING - Invalid values (NaN, inf, or too large) at (8449, 9723): [np.float32(29.099794), np.float32(29.032883), np.float32(0.0669119), np.float32(17.149271), np.float32(126.57649), np.float32(0.38239646), np.float32(1629.8998), np.float32(33.871494), np.float32(-inf), np.float32(inf), np.float32(0.0), np.float32(75.87304), np.float32(inf), np.float32(2454.1948), np.float32(28.931284), np.float32(30.273758), np.float32(-1.3424753), np.float32(28.598475), np.float32(121.89784), np.float32(0.41636848), np.float32(1888.1365)]
2025-08-01 16:30:41,578 - __main__ - WARNING - Invalid values (NaN, inf, or too large) at (8441, 9686): [np.float32(29.521784), np.float32(28.637907), np.float32(0.8838772), np.float32(20.501005), np.float32(-65.39981), np.float32(0.464388), np.float32(1670.4656), np.float32(31.7861), np.float32(-inf), np.float32(inf), np.float32(0.0), np.float32(159.38614), np.float32(inf), np.float32(1509.0032), np.float32(24.397312), np.float32(31.363478), np.float32(-6.9661655), np.float32(61.44015), np.float32(86.57997), np.float32(0.14717662), np.float32(1661.584)]
2025-08-01 16:30:41,955 - __main__ - WARNING - Invalid values (NaN, inf, or too large) at (8358, 9705): [np.float32(29.127388), np.float32(28.618484), np.float32(0.50890267), np.float32(20.16923), np.float32(-81.376724), np.float32(0.44637528), np.float32(1563.9847), np.float32(33.170456), np.float32(-inf), np.float32(inf), np.float32(0.0), np.float32(48.418106), np.float32(inf), np.float32(2113.251), np.float32(30.078604), np.float32(31.26002), np.float32(-1.1814148), np.float32(11.577263), np.float32(-6.2531123), np.float32(0.22917412), np.float32(2357.6323)]
2025-08-01 16:30:43,299 - __main__ - WARNING - Invalid values (NaN, inf, or too large) at (8452, 9685): [np.float32(27.599878), np.float32(31.172174), np.float32(-3.572297), np.float32(3.6507564), np.float32(-88.83388), np.float32(0.04546561), np.float32(1907.9778), np.float32(32.597057), np.float32(-inf), np.float32(inf), np.float32(0.0), np.float32(-0.068761356), np.float32(inf), np.float32(1819.6663), np.float32(29.841002), np.float32(31.911404), np.float32(-2.0704026), np.float32(38.47207), np.float32(132.2327), np.float32(0.4039922), np.float32(2532.1172)]
2025-08-01 16:30:43,430 - __main__ - WARNING - Invalid values (NaN, inf, or too large) at (8400, 9684): [np.float32(25.899035), np.float32(31.01641), np.float32(-5.1173763), np.float32(13.457503), np.float32(-123.786964), np.float32(0.109205715), np.float32(1656.2461), np.float32(34.272488), np.float32(-inf), np.float32(inf), np.float32(0.0), np.float32(-103.44789), np.float32(inf), np.float32(2697.218), np.float32(33.109734), np.float32(30.523167), np.float32(2.586565), np.float32(13.916509), np.float32(95.48373), np.float32(0.45271707), np.float32(3185.107)]
